package,npm_link,version,size_bytes,file_count,nonempty_file_count,dependencies,dev_dependencies
@rarimo/rarime-rn-sdk,https://www.npmjs.com/package/@rarimo/rarime-rn-sdk,0.3.1,154023777,192,192,"{""@dev-plugins/react-query"": ""^0.2.0"", ""@distributedlab/tools"": ""^1.0.0-rc.17"", ""@iden3/js-crypto"": ""^1.3.1"", ""@li0ard/tsemrtd"": ""^0.3.4"", ""@noble/curves"": ""^1.9.2"", ""@noble/hashes"": ""^1.8.0"", ""@peculiar/asn1-cms"": ""^2.3.15"", ""@peculiar/asn1-ecc"": ""^2.3.15"", ""@peculiar/asn1-rsa"": ""^2.3.15"", ""@peculiar/asn1-schema"": ""^2.3.15"", ""@peculiar/asn1-x509"": ""^2.3.15"", ""@peculiar/x509"": ""^1.12.4"", ""@solarity/zkit"": ""^0.3.7"", ""@typechain/ethers-v6"": ""^0.5.1"", ""@types/react"": ""~19.1.0"", ""asn1js"": ""^3.0.6"", ""axios"": ""^1.7.2"", ""ethers"": ""^6.13.2"", ""expo"": ""^54.0.24"", ""expo-asset"": ""~11.0.1"", ""expo-file-system"": ""~18.0.4"", ""expo-module-scripts"": ""^5.0.7"", ""expo-modules-core"": ""^3.0.26"", ""mrz"": ""^4.2.0"", ""node-forge"": ""^1.3.1"", ""react-native"": ""0.81.5"", ""superjson"": ""^2.2.2"", ""typechain"": ""^8.3.2""}","{""@types/react"": ""~19.1.0"", ""expo"": ""^54.0.24"", ""expo-module-scripts"": ""^5.0.7"", ""react-native"": ""0.81.5"", ""typechain"": ""^8.3.2"", ""typescript"": ""^5.9.3"", ""typescript-eslint"": ""^8.23.0""}"
tray-icon-node,https://www.npmjs.com/package/tray-icon-node,0.1.1,148385420,9,9,{},"{""@napi-rs/cli"": ""^3.5.1"", ""@types/bun"": ""^1.1.12"", ""typescript"": ""^5.6.2""}"
@thesolaceproject/emberharmony-linux-x64-baseline,https://www.npmjs.com/package/@thesolaceproject/emberharmony-linux-x64-baseline,1.2.2,149237130,4,4,{},{}
react-native-zxing-generator,https://www.npmjs.com/package/react-native-zxing-generator,0.0.2,159554789,3440,3267,"{""prop-types"": ""^15.6.0""}",{}
azehagowa,https://www.npmjs.com/package/azehagowa,3.0.0,148434204,715,704,{},{}
@danwen/assets-emoji-anim,https://www.npmjs.com/package/@danwen/assets-emoji-anim,1.0.0,160998661,1607,1607,{},{}
@jeffgipson/contentbox,https://www.npmjs.com/package/@jeffgipson/contentbox,1.0.0,156019998,2279,2279,{},{}
pa-ppt-demo,https://www.npmjs.com/package/pa-ppt-demo,1.0.0,155920509,2,2,{},{}
@thesolaceproject/emberharmony-linux-x64-baseline-musl,https://www.npmjs.com/package/@thesolaceproject/emberharmony-linux-x64-baseline-musl,1.2.2,142237203,4,4,{},{}
@thesolaceproject/emberharmony-linux-x64-musl,https://www.npmjs.com/package/@thesolaceproject/emberharmony-linux-x64-musl,1.2.2,142831114,4,4,{},{}
f11,https://www.npmjs.com/package/f11,2.5.0,145075103,31,30,"{""colors"": ""^1.4.0""}","{""@types/node"": ""^17.0.25"", ""nodemon"": ""^2.0.15"", ""pkg"": ""^5.6.0"", ""terser"": ""^5.12.1"", ""ts-node"": ""^10.7.0"", ""typescript"": ""^4.6.3""}"
ckeditor5-okmobility-build,https://www.npmjs.com/package/ckeditor5-okmobility-build,36.0.0,141108014,7411,7376,"{""@ckeditor/ckeditor5-adapter-ckfinder"": ""^36.0.0"", ""@ckeditor/ckeditor5-alignment"": ""^36.0.0"", ""@ckeditor/ckeditor5-autoformat"": ""^36.0.0"", ""@ckeditor/ckeditor5-autosave"": ""^36.0.0"", ""@ckeditor/ckeditor5-basic-styles"": ""^36.0.0"", ""@ckeditor/ckeditor5-block-quote"": ""^36.0.0"", ""@ckeditor/ckeditor5-build-balloon"": ""^36.0.0"", ""@ckeditor/ckeditor5-build-balloon-block"": ""^36.0.0"", ""@ckeditor/ckeditor5-build-classic"": ""^36.0.0"", ""@ckeditor/ckeditor5-build-decoupled-document"": ""^36.0.0"", ""@ckeditor/ckeditor5-build-inline"": ""^36.0.0"", ""@ckeditor/ckeditor5-ckfinder"": ""^36.0.0"", ""@ckeditor/ckeditor5-clipboard"": ""^36.0.0"", ""@ckeditor/ckeditor5-cloud-services"": ""^36.0.0"", ""@ckeditor/ckeditor5-code-block"": ""^36.0.0"", ""@ckeditor/ckeditor5-core"": ""^36.0.0"", ""@ckeditor/ckeditor5-easy-image"": ""^36.0.0"", ""@ckeditor/ckeditor5-editor-balloon"": ""^36.0.0"", ""@ckeditor/ckeditor5-editor-classic"": ""^36.0.0"", ""@ckeditor/ckeditor5-editor-decoupled"": ""^36.0.0"", ""@ckeditor/ckeditor5-editor-inline"": ""^36.0.0"", ""@ckeditor/ckeditor5-engine"": ""^36.0.0"", ""@ckeditor/ckeditor5-enter"": ""^36.0.0"", ""@ckeditor/ckeditor5-essentials"": ""^36.0.0"", ""@ckeditor/ckeditor5-find-and-replace"": ""^36.0.0"", ""@ckeditor/ckeditor5-font"": ""^36.0.0"", ""@ckeditor/ckeditor5-heading"": ""^36.0.0"", ""@ckeditor/ckeditor5-highlight"": ""^36.0.0"", ""@ckeditor/ckeditor5-horizontal-line"": ""^36.0.0"", ""@ckeditor/ckeditor5-html-embed"": ""^36.0.0"", ""@ckeditor/ckeditor5-html-support"": ""^36.0.0"", ""@ckeditor/ckeditor5-image"": ""^36.0.0"", ""@ckeditor/ckeditor5-indent"": ""^36.0.0"", ""@ckeditor/ckeditor5-language"": ""^36.0.0"", ""@ckeditor/ckeditor5-link"": ""^36.0.0"", ""@ckeditor/ckeditor5-list"": ""^36.0.0"", ""@ckeditor/ckeditor5-markdown-gfm"": ""^36.0.0"", ""@ckeditor/ckeditor5-media-embed"": ""^36.0.0"", ""@ckeditor/ckeditor5-mention"": ""^36.0.0"", ""@ckeditor/ckeditor5-page-break"": ""^36.0.0"", ""@ckeditor/ckeditor5-paragraph"": ""^36.0.0"", ""@ckeditor/ckeditor5-paste-from-office"": ""^36.0.0"", ""@ckeditor/ckeditor5-remove-format"": ""^36.0.0"", ""@ckeditor/ckeditor5-restricted-editing"": ""^36.0.0"", ""@ckeditor/ckeditor5-select-all"": ""^36.0.0"", ""@ckeditor/ckeditor5-source-editing"": ""^36.0.0"", ""@ckeditor/ckeditor5-special-characters"": ""^36.0.0"", ""@ckeditor/ckeditor5-table"": ""^36.0.0"", ""@ckeditor/ckeditor5-theme-lark"": ""^36.0.0"", ""@ckeditor/ckeditor5-typing"": ""^36.0.0"", ""@ckeditor/ckeditor5-ui"": ""^36.0.0"", ""@ckeditor/ckeditor5-undo"": ""^36.0.0"", ""@ckeditor/ckeditor5-upload"": ""^36.0.0"", ""@ckeditor/ckeditor5-utils"": ""^36.0.0"", ""@ckeditor/ckeditor5-watchdog"": ""^36.0.0"", ""@ckeditor/ckeditor5-widget"": ""^36.0.0"", ""@ckeditor/ckeditor5-word-count"": ""^36.0.0""}","{""@ckeditor/ckeditor5-comments"": "">=28.0.0"", ""@ckeditor/ckeditor5-dev-bump-year"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-ci"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-dependency-checker"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-docs"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-release-tools"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-tests"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-transifex"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-translations"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-utils"": ""^32.0.0"", ""@ckeditor/ckeditor5-dev-web-crawler"": ""^32.0.0"", ""@ckeditor/ckeditor5-export-pdf"": "">=1.0.0"", ""@ckeditor/ckeditor5-export-word"": "">=1.0.0"", ""@ckeditor/ckeditor5-import-word"": "">=1.0.0"", ""@ckeditor/ckeditor5-inspector"": ""^4.0.0"", ""@ckeditor/ckeditor5-pagination"": "">=1.0.0"", ""@ckeditor/ckeditor5-react"": ""^3.0.0"", ""@ckeditor/ckeditor5-real-time-collaboration"": "">=28.0.0"", ""@ckeditor/ckeditor5-revision-history"": "">=28.0.0"", ""@ckeditor/ckeditor5-track-changes"": "">=28.0.0"", ""@webspellchecker/wproofreader-ckeditor5"": ""^2.0.1"", ""@wiris/mathtype-ckeditor5"": ""^7.24.0"", ""assert"": ""^2.0.0"", ""babel-standalone"": ""^6.26.0"", ""chalk"": ""^4.1.0"", ""cli-table"": ""^0.3.1"", ""coveralls"": ""^3.1.0"", ""css-loader"": ""^5.2.7"", ""eslint"": ""^7.19.0"", ""eslint-config-ckeditor5"": ""^4.1.1"", ""glob"": ""^7.1.6"", ""http-server"": ""^14.1.1"", ""husky"": ""^8.0.2"", ""is-relative-url"": ""^3.0.0"", ""lint-staged"": ""^12.0.0"", ""mini-css-extract-plugin"": ""^2.4.2"", ""minimatch"": ""^5.1.0"", ""minimist"": ""^1.2.5"", ""mkdirp"": ""^1.0.4"", ""node-fetch"": ""^2.6.7"", ""nyc"": ""^15.0.1"", ""postcss-loader"": ""^4.3.0"", ""raw-loader"": ""^4.0.1"", ""react"": ""^16.13.1"", ""react-dom"": ""^16.13.1"", ""rimraf"": ""^3.0.2"", ""style-loader"": ""^2.0.0"", ""stylelint"": ""^13.5.0"", ""stylelint-config-ckeditor5"": ""^4.0.0"", ""svgo"": ""^2.2.2"", ""terser-webpack-plugin"": ""^4.2.3"", ""ts-loader"": ""^9.3.0"", ""umberto"": ""^2.3.0"", ""upath"": ""^2.0.0"", ""wait-on"": ""^6.0.1"", ""webpack"": ""^5.58.1"", ""wrapper-webpack-plugin"": ""^2.2.2""}"
