package,version,jt_ca,jt_ce,jt_instability,module_file_count,module_decl_mean,module_decl_median,module_decl_std_dev,module_decl_max,module_decl_outlier_count,module_internal_fan_in_mean,module_internal_fan_in_median,module_internal_fan_in_std_dev,module_internal_fan_in_max,module_internal_fan_in_outlier_count,module_internal_fan_out_mean,module_internal_fan_out_median,module_internal_fan_out_std_dev,module_internal_fan_out_max,module_internal_fan_out_outlier_count,class_mean,class_median,class_std_dev,class_max,class_outlier_count,function_mean,function_median,function_std_dev,function_max,function_outlier_count,function_call_mean,function_call_median,function_call_std_dev,function_call_max,function_call_outlier_count
opencode-linux-x64-baseline,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-linux-x64,1.15.5,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@google-cloud/compute,6.11.0,70,18,0.2045,512,4.88,4.00,7.53,129,2,1.00,0.00,11.16,253,1,1.00,0.50,7.76,129,2,9.68,1.00,196.56,4453,1,124.76,0.00,2396.10,54286,1,4.41,2.00,14.62,2308,343
@anthropic-ai/claude-code-linux-x64,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
dashjs,5.1.1,147,58,0.2829,40,0.07,0.00,0.35,2,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,18.80,5.50,28.61,99,0,2065.38,1349.50,2021.16,6654,0,2.94,2.00,5.36,356,975
onnxruntime-node,1.26.0,302,9,0.0289,20,2.25,2.00,2.02,6,0,0.50,0.00,0.59,2,0,0.50,0.00,0.74,2,0,0.25,0.00,0.62,2,0,2.85,0.50,5.11,22,1,2.53,2.00,3.29,19,1
@fluentui/react-icons,2.0.326,222,18,0.075,23312,1.01,1.00,0.68,68,19,1.00,0.00,75.98,5811,4,1.00,1.00,0.61,67,10,0.00,0.00,0.00,0,0,0.00,0.00,0.15,16,32,1.38,0.00,2.23,8,0
@lancedb/lancedb-linux-x64-gnu,0.29.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@cloudflare/workerd-linux-arm64,1.20260519.1,2,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@formatjs/intl-datetimeformat,7.4.5,58,4,0.0645,1545,0.01,0.00,0.10,2,5,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.35,0.00,6.85,166,4,3.35,2.00,5.56,43,8
react-grab,0.1.37,35,17,0.3269,325,1.84,2.00,1.37,4,0,1.81,0.00,7.93,68,6,1.81,2.00,1.40,4,0,0.00,0.00,0.00,0,0,388.53,387.00,204.16,1553,1,2.95,1.00,6.08,159,1209
@anthropic-ai/claude-code-darwin-arm64,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
flow-bin,0.314.0,12099,0,0,2,2.00,2.00,0.00,2,0,0.50,0.50,0.50,1,0,0.50,0.50,0.50,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@tensorflow/tfjs,4.22.0,787,45,0.0541,43,3.63,2.00,3.15,11,0,0.63,0.00,1.18,5,1,0.63,0.00,1.03,4,1,30.84,0.00,93.41,323,4,902.53,3.00,2065.80,7617,1,3.46,1.00,21.28,2385,55
@github/copilot-linux-x64,1.0.49,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@github/copilot,1.0.49,19,8,0.2963,102,15.85,1.00,89.60,737,2,0.82,0.00,1.55,8,3,0.82,0.00,1.67,9,2,4.58,0.00,15.51,103,2,596.05,0.50,4121.35,35779,2,2.88,1.00,16.70,2152,176
@anthropic-ai/claude-code-win32-x64,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-windows-x64,1.15.5,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-windows-x64-baseline,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@lancedb/lancedb-win32-x64-msvc,0.29.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@duckdb/duckdb-wasm,1.33.1-dev45.0,108,33,0.234,66,4.64,1.00,12.89,65,3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.98,0.00,1.82,7,4,486.14,0.00,1257.12,4778,3,2.47,1.00,4.71,210,304
@node-llama-cpp/linux-x64-cuda,3.18.1,0,0,0,1,3.00,3.00,0.00,3,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,0.00,0.00,0.00,0,0
@anthropic-ai/claude-code-linux-x64-musl,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@bufbuild/buf-linux-aarch64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
node-linux-x64,22.22.3,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@iconify/json,2.2.475,766,10,0.0129,3,2.67,3.00,0.47,3,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,2.67,4.00,1.89,4,0,2.00,2.00,0.71,3,0
@cdktf/node-pty-prebuilt-multiarch,0.10.2,4,17,0.8095,42,2.07,2.00,2.16,8,0,0.90,0.00,1.29,4,0,0.90,0.50,1.27,6,1,0.07,0.00,0.26,1,3,8.67,2.50,12.89,47,0,1.92,1.00,2.25,17,10
@next/swc-freebsd-x64,13.2.4,3,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@pdftron/webviewer,11.12.0,26,0,0,315,0.18,0.00,0.88,8,9,0.00,0.00,0.06,1,1,0.00,0.00,0.06,1,1,1.80,0.00,22.29,384,2,339.01,6.00,1642.74,18337,4,4.12,1.00,28.61,3570,396
@oven/bun-windows-x64,1.3.14,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@cdktf/provider-aws,21.22.1,65,17,0.2073,4462,2.50,2.00,46.79,2212,2,1.00,0.00,1.01,5,2,1.00,0.00,46.82,2212,2,6.61,2.00,18.29,200,78,6.00,0.00,39.61,2212,31,4.17,3.00,5.33,313,116
@oven/bun-windows-x64-baseline,1.3.14,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
ffprobe-static,3.1.0,167,1,0.006,2,2.50,2.50,0.50,3,0,0.50,0.50,0.50,1,0,0.50,0.50,0.50,1,0,0.00,0.00,0.00,0,0,0.50,0.50,0.50,1,0,4.00,4.00,0.00,4,0
@node-llama-cpp/linux-x64-cuda-ext,3.18.1,0,0,0,1,3.00,3.00,0.00,3,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,0.00,0.00,0.00,0,0
@highcharts/map-collection,2.3.2,15,0,0,556,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@lancedb/lancedb-linux-x64-musl,0.29.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@evilmartians/lefthook,2.1.6,5648,0,0,3,1.67,2.00,0.47,2,0,0.67,0.00,0.94,2,0,0.67,1.00,0.47,1,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,1.33,1.00,1.25,3,0
@github/copilot-language-server,1.489.0,5,7,0.5833,25,76.84,1.00,190.78,717,1,0.12,0.00,0.32,1,0,0.12,0.00,0.43,2,1,18.12,2.00,27.21,98,0,3089.68,30.00,8152.50,30456,1,2.87,1.00,13.58,2069,271
@lancedb/lancedb-linux-arm64-gnu,0.29.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@progress/kendo-angular-intl,23.4.0,299,10,0.0324,3077,1.00,1.00,0.11,4,6,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.10,5,5,0.00,0.00,0.22,12,2,1.00,1.00,1.04,3,0
@ibm/plex,6.4.1,46,27,0.3699,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@eth-optimism/contracts-bedrock,0.17.3,24,4,0.1429,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@aws-amplify/graphql-api-construct,1.21.3,5,154,0.9686,29252,1.32,1.00,2.24,65,464,0.51,0.00,3.92,348,129,0.51,0.00,1.52,65,289,0.15,0.00,1.02,40,146,2.42,0.00,21.89,2527,158,2.76,1.00,7.10,324,752
react-native-skia-android,147.1.0,2,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
react-native-skia-apple-ios,147.1.0,2,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@trufflesuite/uws-js-unofficial,20.30.0-unofficial.0,19,5,0.2083,21,2.19,2.00,2.04,8,0,1.10,1.00,1.02,3,0,1.10,1.00,1.27,4,0,0.76,1.00,0.87,3,0,12.14,3.00,41.21,196,1,2.25,1.00,4.13,42,4
react-native-skia-apple-tvos,147.1.0,2,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@aws-amplify/data-construct,1.17.3,1,153,0.9935,28486,1.32,1.00,2.25,65,455,0.52,0.00,3.94,348,127,0.52,0.00,1.53,65,285,0.15,0.00,1.03,40,146,2.47,0.00,22.17,2527,158,2.77,1.00,7.12,324,752
@bufbuild/buf-darwin-arm64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@zed-industries/codex-acp-win32-x64,0.14.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@zed-industries/codex-acp-linux-arm64,0.14.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
datamaps,0.5.10,32,12,0.2727,822,2.87,2.00,2.49,32,13,0.32,0.00,1.71,34,11,0.32,0.00,0.96,9,17,0.00,0.00,0.03,1,1,50.70,68.00,79.82,1445,4,4.89,2.00,7.20,110,1069
@anthropic-ai/claude-code-linux-arm64,2.1.144,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
git-cz,4.9.0,2221,30,0.0133,3,1013.67,1514.00,716.08,1526,0,0.33,0.00,0.47,1,0,0.33,0.00,0.47,1,0,16.00,24.00,11.31,24,0,2280.33,3403.00,1612.50,3438,0,2.07,1.00,7.45,341,12
@bufbuild/buf-win32-x64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-linux-arm64,1.15.5,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@kilocode/cli-linux-x64-baseline-musl,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@zed-industries/codex-acp-darwin-arm64,0.14.0,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
devicon,2.17.0,12,9,0.4286,3,3.00,0.00,4.24,9,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,14.00,15.00,11.05,27,0,2.19,1.00,2.31,9,0
@kilocode/cli-linux-x64,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-linux-arm64-musl,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@node-llama-cpp/win-x64-cuda,3.18.1,0,0,0,1,3.00,3.00,0.00,3,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,0.00,0.00,0.00,0,0
@kilocode/cli-linux-x64-musl,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@bufbuild/buf-darwin-x64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@bufbuild/buf-win32-arm64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@kilocode/cli-linux-x64-baseline,7.3.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
n8n-editor-ui,2.16.2,14,0,0,635,3.71,0.00,6.95,99,8,3.70,0.00,19.18,247,9,3.70,0.00,6.93,98,8,0.14,0.00,1.30,21,5,237.85,27.00,1339.07,26924,6,2.79,1.00,14.71,2797,535
fast-geoip,1.1.88,11,2,0.1538,4,1.00,0.00,1.73,4,0,0.50,0.50,0.50,1,0,0.50,0.00,0.87,2,0,0.00,0.00,0.00,0,0,6.25,2.50,8.20,20,0,2.00,2.00,2.02,8,0
@lancedb/lancedb-win32-arm64-msvc,0.29.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@concordium/web-sdk,12.0.2,9,43,0.8269,529,3.87,2.00,7.83,80,5,2.79,0.00,6.80,88,9,2.79,1.00,4.31,29,12,5.35,0.00,44.74,489,6,40.29,0.00,435.16,7438,3,4.30,1.00,29.13,2158,108
@cdktf/provider-datadog,12.15.2,1,17,0.9444,432,2.55,2.00,12.70,188,2,1.13,0.00,1.30,7,2,1.13,0.00,12.80,188,2,21.70,2.00,50.31,200,2,23.46,0.00,82.76,384,24,5.93,6.00,5.41,44,49
@adguard/dnr-rulesets,4.1.20260519060101,0,39,1,17,2.18,0.00,4.83,18,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,12.82,0.00,45.28,193,1,532.59,0.00,1004.14,3298,0,2.97,2.00,7.23,202,85
@progress/kendo-ui,2026.1.415,53,22,0.2933,3789,2.14,0.00,10.77,184,70,2.12,0.00,11.59,212,72,2.12,0.00,10.77,184,70,0.12,0.00,5.14,315,1,38.70,1.00,569.83,23079,6,3.80,2.00,8.74,1415,1352
@node-llama-cpp/win-x64-cuda-ext,3.18.1,0,0,0,1,3.00,3.00,0.00,3,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,1.00,1.00,0.00,1,0,0.00,0.00,0.00,0,0
@cdxgen/cdxgen-plugins-bin-linux-amd64,2.1.1,0,0,0,1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
minecraft-data,3.110.2,126,7,0.0526,35,73.63,3.00,401.94,2417,1,0.51,0.00,1.25,7,1,0.51,0.00,0.81,4,1,0.00,0.00,0.00,0,0,5.03,4.00,4.41,15,0,3.99,2.00,6.10,43,6
polyfill-library,4.8.0,27,68,0.7158,6760,0.00,0.00,0.13,9,2,0.00,0.00,0.01,1,1,0.00,0.00,0.01,1,1,0.00,0.00,0.00,0,0,0.84,0.00,8.39,277,48,2.63,1.00,4.17,45,126
pspdfkit,2024.8.2,5,1,0.1667,82,0.33,0.00,1.20,6,3,0.02,0.00,0.15,1,2,0.02,0.00,0.15,1,2,7.22,0.00,46.63,410,1,370.24,2.00,2799.69,25518,1,2.73,1.00,10.07,803,203
@github/copilot-darwin-arm64,1.0.50,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@op-engineering/op-sqlite,16.0.0,50,11,0.1803,38,0.71,1.00,0.76,3,1,0.32,0.00,0.76,4,1,0.32,0.00,0.57,2,0,0.32,0.00,0.46,1,0,6.50,0.00,16.67,67,2,1.84,1.00,2.53,19,6
@prisma/sdk,4.0.0,242,60,0.1987,185,1.88,1.00,4.77,51,2,0.76,0.00,1.22,8,4,0.76,0.00,3.68,47,2,0.09,0.00,0.38,3,2,5.79,0.00,10.07,85,5,2.02,1.00,3.73,46,21
@cdktf/provider-google,16.12.1,32,17,0.3469,2962,2.49,2.00,38.15,1470,2,1.00,0.00,1.00,3,0,1.00,0.00,38.18,1470,2,7.49,2.00,15.04,200,72,7.43,0.00,34.83,1470,24,4.21,3.00,4.20,59,244
@syncfusion/ej2,33.2.7,23,51,0.6892,105,2.39,1.00,8.25,51,3,1.44,0.00,1.49,3,0,1.44,0.00,8.39,51,3,0.02,0.00,0.19,2,1,586.81,0.00,5946.97,61234,1,6.26,2.00,99.15,24416,7
oh-my-opencode-windows-x64,4.2.2,1,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@nutrient-sdk/viewer,1.15.0,0,1,1,65,0.31,0.00,1.11,6,2,0.03,0.00,0.17,1,2,0.03,0.00,0.17,1,2,10.12,0.00,58.89,470,1,585.69,0.00,4107.21,33420,1,2.41,1.00,7.31,644,350
distilled-aws,0.1.1,2,20,0.9091,1401,8.84,9.00,2.94,20,3,4.68,0.00,46.32,832,14,4.68,4.00,1.91,15,3,12.46,7.00,21.66,228,24,112.61,43.00,216.44,3166,16,4.55,3.00,7.13,874,1652
