package,version,size_bytes,file_count,nonempty_file_count,jt_afferent,jt_efferent_total,jt_efferent_internal,jt_efferent_external,jt_instability,jt_in_degree,jt_out_degree,jt_in_degree_centrality,jt_out_degree_centrality,jt_total_degree_centrality,jt_dependency_score,jt_warning_count,jt_warning_messages
googleapis,171.4.0,199646715,1823,1823,12,42,0,42,0.7778,12,0,0.0024,0,0.0012,54,0,
next,16.2.6,154840819,8070,8010,77,227,0,227,0.7467,77,0,0.0155,0,0.0077,304,0,
@next/swc-linux-arm64-gnu,16.2.6,124941258,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@cloudflare/workerd-linux-64,1.20260519.1,125105997,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-x64-gnu,16.2.6,130265551,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-arm64-musl,16.2.6,125218383,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-x64-musl,16.2.6,130191545,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-darwin-arm64,16.2.6,121740836,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
onnxruntime-web,1.26.0,134332969,507,507,11,35,0,35,0.7609,11,0,0.0022,0,0.0011,46,0,
@next/swc-win32-x64-msvc,16.2.6,136819205,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-darwin-x64,16.2.6,119737475,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
app-builder-bin,4.2.0,198438278,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
@pnpm/linux-x64,11.1.3,146740068,4,4,1,1,1,0,0.5,1,1,0.0002,0.0002,0.0002,2,0,
@temporalio/core-bridge,1.16.2,131359441,447,447,0,5,0,5,1,0,0,0,0,0,5,0,
opencode-linux-x64-baseline-musl,1.15.5,140626359,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64-musl,1.15.5,140626350,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-linux-x64,1.69.0,125268882,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-linux-x64,0.14.0,221255489,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64-baseline,1.15.5,143833362,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64,1.15.5,143833353,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@google-cloud/compute,6.11.0,175338033,1025,1025,1,18,0,18,0.9474,1,0,0.0002,0,0.0001,19,0,
@anthropic-ai/claude-code-linux-x64,2.1.144,233404698,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
dashjs,5.1.1,129997301,92,92,1,58,0,58,0.9831,1,0,0.0002,0,0.0001,59,0,
onnxruntime-node,1.26.0,266245395,43,43,9,9,0,9,0.5,9,0,0.0018,0,0.0009,18,0,
@fluentui/react-icons,2.0.326,121897571,23350,23350,1,17,0,17,0.9444,1,0,0.0002,0,0.0001,18,0,
@lancedb/lancedb-linux-x64-gnu,0.29.0,143086498,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@cloudflare/workerd-linux-arm64,1.20260519.1,129264762,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@formatjs/intl-datetimeformat,7.4.5,174785778,1552,1552,1,4,0,4,0.8,1,0,0.0002,0,0.0001,5,0,
react-grab,0.1.37,39307992,338,338,0,16,0,16,1,0,0,0,0,0,16,0,
@anthropic-ai/claude-code-darwin-arm64,2.1.144,207919585,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
flow-bin,0.314.0,191162170,14,14,19,0,0,0,0,19,0,0.0038,0,0.0019,19,0,
@tensorflow/tfjs,4.22.0,147474474,77,77,20,45,0,45,0.6923,20,0,0.004,0,0.002,65,0,
@github/copilot-linux-x64,1.0.49,160504600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@github/copilot,1.0.49,274876693,326,322,0,0,0,0,0,0,0,0,0,0,0,0,
@anthropic-ai/claude-code-win32-x64,2.1.144,229303002,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-windows-x64,1.15.5,141508115,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-windows-x64-baseline,1.15.5,141508124,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@lancedb/lancedb-win32-x64-msvc,0.29.0,152295903,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@duckdb/duckdb-wasm,1.33.1-dev45.0,148772902,85,85,1,33,0,33,0.9706,1,0,0.0002,0,0.0001,34,0,
@node-llama-cpp/linux-x64-cuda,3.18.1,159456082,24,24,0,0,0,0,0,0,0,0,0,0,0,0,
@anthropic-ai/claude-code-linux-x64-musl,2.1.144,227798664,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-linux-aarch64,1.69.0,118490012,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
node-linux-x64,22.22.3,184802990,2733,2733,0,0,0,0,0,0,0,0,0,0,0,0,
@iconify/json,2.2.475,416601966,242,242,3,10,0,10,0.7692,3,0,0.0006,0,0.0003,13,0,
@cdktf/node-pty-prebuilt-multiarch,0.10.2,167709910,368,368,0,17,0,17,1,0,0,0,0,0,17,0,
@next/swc-freebsd-x64,13.2.4,148496193,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@pdftron/webviewer,11.12.0,185609272,824,820,2,0,0,0,0,2,0,0.0004,0,0.0002,2,0,
@oven/bun-windows-x64,1.3.14,98480706,3,3,1,0,0,0,0,1,0,0.0002,0,0.0001,1,0,
@cdktf/provider-aws,21.22.1,392167704,4468,4468,0,17,0,17,1,0,0,0,0,0,17,0,
@oven/bun-windows-x64-baseline,1.3.14,97757914,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
ffprobe-static,3.1.0,351499535,11,11,0,1,0,1,1,0,0,0,0,0,1,0,
@node-llama-cpp/linux-x64-cuda-ext,3.18.1,464738270,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@highcharts/map-collection,2.3.2,130757599,2220,2220,0,0,0,0,0,0,0,0,0,0,0,0,
@lancedb/lancedb-linux-x64-musl,0.29.0,125189605,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@evilmartians/lefthook,2.1.6,131635039,16,16,31,0,0,0,0,31,0,0.0062,0,0.0031,31,0,
@github/copilot-language-server,1.489.0,192953871,141,140,0,1,0,1,1,0,0,0,0,0,1,0,
@lancedb/lancedb-linux-arm64-gnu,0.29.0,131551813,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@progress/kendo-angular-intl,23.4.0,188335297,6147,6147,2,3,0,3,0.6,2,0,0.0004,0,0.0002,5,0,
@ibm/plex,6.4.1,186600620,10308,10308,0,27,0,27,1,0,0,0,0,0,27,0,
@eth-optimism/contracts-bedrock,0.17.3,128506541,683,683,1,4,0,4,0.8,1,0,0.0002,0,0.0001,5,0,
@aws-amplify/graphql-api-construct,1.21.3,143878005,32655,32638,1,154,0,154,0.9935,1,0,0.0002,0,0.0001,155,0,
react-native-skia-android,147.1.0,228467070,38,38,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-skia-apple-ios,147.1.0,214452582,26,26,0,0,0,0,0,0,0,0,0,0,0,0,
@trufflesuite/uws-js-unofficial,20.30.0-unofficial.0,117587139,89,89,0,5,0,5,1,0,0,0,0,0,5,0,
react-native-skia-apple-tvos,147.1.0,214457708,26,26,0,0,0,0,0,0,0,0,0,0,0,0,
@aws-amplify/data-construct,1.17.3,142149976,31859,31842,0,153,1,152,1,0,1,0,0.0002,0.0001,153,0,
@bufbuild/buf-darwin-arm64,1.69.0,122897979,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-win32-x64,0.14.0,176678205,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-linux-arm64,0.14.0,208478033,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
datamaps,0.5.10,137455952,1412,1411,2,12,0,12,0.8571,2,0,0.0004,0,0.0002,14,0,
@anthropic-ai/claude-code-linux-arm64,2.1.144,233289946,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
git-cz,4.9.0,152702114,14,14,1,30,0,30,0.9677,1,0,0.0002,0,0.0001,31,0,
@bufbuild/buf-win32-x64,1.69.0,128691628,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-arm64,1.15.5,143894813,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@kilocode/cli-linux-x64-baseline-musl,7.3.0,175586981,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-darwin-arm64,0.14.0,179964765,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
devicon,2.17.0,134906102,2122,2122,0,9,0,9,1,0,0,0,0,0,9,0,
@kilocode/cli-linux-x64,7.3.0,180735575,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-arm64-musl,1.15.5,139505674,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@node-llama-cpp/win-x64-cuda,3.18.1,145263883,21,21,0,0,0,0,0,0,0,0,0,0,0,0,
@kilocode/cli-linux-x64-musl,7.3.0,175586972,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-darwin-x64,1.69.0,128922783,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-win32-arm64,1.69.0,120120754,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@kilocode/cli-linux-x64-baseline,7.3.0,180735584,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
n8n-editor-ui,2.16.2,162870420,1497,1496,0,0,0,0,0,0,0,0,0,0,0,0,
fast-geoip,1.1.88,164338251,3141,3141,0,2,0,2,1,0,0,0,0,0,2,0,
@lancedb/lancedb-win32-arm64-msvc,0.29.0,128228330,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@concordium/web-sdk,12.0.2,131501305,713,713,0,43,0,43,1,0,0,0,0,0,43,0,
@cdktf/provider-datadog,12.15.2,143989886,436,436,0,17,0,17,1,0,0,0,0,0,17,0,
@adguard/dnr-rulesets,4.1.20260519060101,249456295,126,126,0,39,0,39,1,0,0,0,0,0,39,0,
@progress/kendo-ui,2026.1.415,197164419,4936,4936,0,22,0,22,1,0,0,0,0,0,22,0,
@node-llama-cpp/win-x64-cuda-ext,3.18.1,461574845,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@cdxgen/cdxgen-plugins-bin-linux-amd64,2.1.1,121718805,16,15,0,0,0,0,0,0,0,0,0,0,0,0,
minecraft-data,3.110.2,389364825,1165,1165,3,7,1,6,0.7,3,1,0.0006,0.0002,0.0004,10,0,
polyfill-library,4.8.0,134193924,10147,10147,0,68,1,67,1,0,1,0,0.0002,0.0001,68,0,
pspdfkit,2024.8.2,202856332,748,748,0,1,0,1,1,0,0,0,0,0,1,0,
@github/copilot-darwin-arm64,1.0.50,156422573,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@op-engineering/op-sqlite,16.0.0,362599968,169,169,2,11,0,11,0.8462,2,0,0.0004,0,0.0002,13,0,
@prisma/sdk,4.0.0,122113367,190,190,0,60,0,60,1,0,0,0,0,0,60,0,
@cdktf/provider-google,16.12.1,309341454,2969,2969,0,17,0,17,1,0,0,0,0,0,17,0,
@syncfusion/ej2,33.2.7,275640245,3910,3910,0,51,0,51,1,0,0,0,0,0,51,0,
oh-my-opencode-windows-x64,4.2.2,106758066,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
@nutrient-sdk/viewer,1.15.0,148346434,663,663,0,1,0,1,1,0,0,0,0,0,1,0,
distilled-aws,0.1.1,193344804,2339,2339,0,20,0,20,1,0,0,0,0,0,20,0,
@amcharts/amcharts5-geodata,5.1.5,350910498,3574,3551,0,1,0,1,1,0,0,0,0,0,1,0,
oh-my-opencode-windows-x64-baseline,4.2.2,106035149,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@cdktf/provider-kubernetes,12.1.1,149843765,323,323,0,17,0,17,1,0,0,0,0,0,17,0,
@azure/mcp-linux-x64,3.0.0-beta.10,146259937,71,71,0,0,0,0,0,0,0,0,0,0,0,0,
oh-my-openagent-linux-x64,4.2.2,110516788,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
unicode-9.0.0,0.7.5,143194754,2234,2234,0,0,0,0,0,0,0,0,0,0,0,0,
@neo4j-cypher/language-support,2.0.0-next.6,129365603,122,122,0,7,0,7,1,0,0,0,0,0,7,0,
opencode-windows-arm64,1.15.5,138176535,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
realm,20.2.0,678086505,2515,2515,2,21,0,21,0.913,2,0,0.0004,0,0.0002,23,0,
oh-my-openagent-windows-x64,4.2.2,106758047,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
oh-my-openagent-windows-x64-baseline,4.2.2,106035121,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@asyncapi/studio,1.3.0,198516827,3251,3250,0,76,1,75,1,0,1,0,0.0002,0.0001,76,0,
@anthropic-ai/claude-code-darwin-x64,2.1.144,210433737,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
cldr,8.0.0,290774152,3016,3016,0,26,0,26,1,0,0,0,0,0,26,0,
@pnpm/linux-arm64,11.1.3,146776873,4,4,1,1,1,0,0.5,1,1,0.0002,0.0002,0.0002,2,0,
google-closure-compiler-osx,20240317.0.0,259611568,4,4,1,0,0,0,0,1,0,0.0002,0,0.0001,1,0,
@gitlab/web-ide,0.0.1-dev-20260106142046,124688758,1105,1104,0,1,0,1,1,0,0,0,0,0,1,0,
oh-my-opencode-linux-x64,4.2.2,110516785,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
@shabados/database,5.0.0-next.0,152059067,22,22,0,13,0,13,1,0,0,0,0,0,13,0,
@tabler/icons-webfont,3.44.0,125664261,38,38,0,13,0,13,1,0,0,0,0,0,13,0,
azure,2.3.1-preview,249497832,31771,31767,0,118,0,118,1,0,0,0,0,0,118,0,
@deno/linux-x64-glibc,2.7.14,124243477,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@aztec/bb.js,4.2.1,154576931,645,645,1,24,0,24,0.96,1,0,0.0002,0,0.0001,25,0,
@amcharts/amcharts4-geodata,4.1.31,332620975,3574,3548,0,0,0,0,0,0,0,0,0,0,0,0,
@cdktf/provider-azurerm,14.23.1,268798096,3064,3064,0,17,0,17,1,0,0,0,0,0,17,0,
@imgly/background-removal-node,1.4.5,132708405,59,59,0,21,1,20,1,0,1,0,0.0002,0.0001,21,0,
gsd-pi,3.0.0,195386334,9515,9513,0,39,0,39,1,0,0,0,0,0,39,0,
@bitgo-forks/cryptocurrency-icons,0.102.0,139394045,11675,11675,0,15,0,15,1,0,0,0,0,0,15,0,
@github/copilot-linux-arm64,1.0.50,159783652,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
botframework-webchat,4.18.2,161606178,432,428,0,50,0,50,1,0,0,0,0,0,50,0,
@lenml/tokenizer-gemma3,3.7.2,253630696,14,14,0,6,0,6,1,0,0,0,0,0,6,0,
liquibase,4.28.1,132510777,188,188,0,15,0,15,1,0,0,0,0,0,15,0,
@cyclonedx/cdxgen-plugins-bin-linux-amd64,1.8.0,190784684,11,10,0,0,0,0,0,0,0,0,0,0,0,0,
@restatedev/restate-server-linux-x64,1.6.2,199460667,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
permitio,2.7.5,211956246,2376,2340,0,39,0,39,1,0,0,0,0,0,39,0,
@restatedev/restate-linux-x64,1.6.2,200004436,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
dwt,19.3.3,127706428,38,38,0,1,0,1,1,0,0,0,0,0,1,0,
@buildonspark/spark-sdk,0.8.1,189856144,423,421,0,43,0,43,1,0,0,0,0,0,43,0,
@atlaspack/rust,3.29.2,250431477,9,9,0,2,0,2,1,0,0,0,0,0,2,0,
serverless-offline-aws-eventbridge,2.2.4,172721826,18349,18330,0,27,0,27,1,0,0,0,0,0,27,0,
@wppconnect/wa-version,1.5.3966,159043788,334,334,0,25,0,25,1,0,0,0,0,0,25,0,
@xmtp/node-bindings,1.10.0,233939419,12,12,0,15,0,15,1,0,0,0,0,0,15,0,
@livestore/common-cf,0.0.0-snapshot-8452e32b7fbfc129741b253b9c853f866b52129f,221704776,249,245,0,6,0,6,1,0,0,0,0,0,6,0,
jqwidgets-framework,25.1.0,150968111,22890,22065,0,0,0,0,0,0,0,0,0,0,0,0,
aerospike,6.7.0,237879142,396,396,0,31,0,31,1,0,0,0,0,0,31,0,
openapi-directory,1.3.17,426460311,2656,2656,0,19,0,19,1,0,0,0,0,0,19,0,
gdal-async,3.12.3,215562159,10155,10153,0,38,0,38,1,0,0,0,0,0,38,0,
@qingchencloud/openclaw-zh,2026.5.12-zh.2,79241108,12096,12096,0,75,0,75,1,0,0,0,0,0,75,0,
@pnpm/macos-arm64,11.1.3,142248236,4,4,1,1,1,0,0.5,1,1,0.0002,0.0002,0.0002,2,0,
electron-apps,1.9312.0,117381404,4714,4713,0,41,0,41,1,0,0,0,0,0,41,0,
@aztec/l1-artifacts,4.2.1,130109480,1326,1326,1,5,0,5,0.8333,1,0,0.0002,0,0.0001,6,0,
choerodon-ui,1.6.7,211059312,9568,9568,0,220,0,220,1,0,0,0,0,0,220,0,
rocksdb-native,3.15.1,183823494,33,33,0,20,0,20,1,0,0,0,0,0,20,0,
@mchp-mcc/pic-16bit,5.16.0,701308794,264,262,0,22,0,22,1,0,0,0,0,0,22,0,
omniroute,3.7.9,147912794,5886,5885,0,75,1,74,1,0,1,0,0.0002,0.0001,75,0,
@elasticprojects/abstract-cli,13.4.5,131498434,28,23,0,3,0,3,1,0,0,0,0,0,3,0,
@codemod.com/cli-linux-x64-gnu,1.10.5,144697027,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@central-icons-react/all,1.1.238,444491470,19,19,0,5,0,5,1,0,0,0,0,0,5,0,
@embedded-postgres/darwin-arm64,18.3.0-beta.17,148010398,1025,1025,0,2,0,2,1,0,0,0,0,0,2,0,
nw-gyp,3.6.8,166363614,114,113,0,17,0,17,1,0,0,0,0,0,17,0,
@matbee/libreoffice-converter,2.6.0,253723228,39,39,0,17,0,17,1,0,0,0,0,0,17,0,
react-fluentui-emoji,1.3.0,119691343,15781,15781,0,0,0,0,0,0,0,0,0,0,0,0,
iso3166-2-db,2.3.11,177295821,42268,42268,1,10,0,10,0.9091,1,0,0.0002,0,0.0001,11,0,
@antimatterhq/antimatter,2.0.5,394684535,97,97,0,8,0,8,1,0,0,0,0,0,8,0,
@factory/cli-linux-x64,0.129.0,150133871,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@gitbook/fontawesome-pro,1.0.23,251888910,38960,38960,0,1,0,1,1,0,0,0,0,0,1,0,
doc999tor-fast-geoip,1.1.433,167184804,3302,3302,0,2,0,2,1,0,0,0,0,0,2,0,
@factory/cli-linux-x64-baseline,0.129.0,149216486,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@github/copilot-darwin-x64,1.0.50,160894433,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
gm-kilo,1.0.1,2713,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
unicode-5.2.0,0.7.5,119380439,1390,1390,0,0,0,0,0,0,0,0,0,0,0,0,
stockfish,18.0.7,251051807,15,15,0,0,0,0,0,0,0,0,0,0,0,0,
node-bin-darwin-arm64,22.22.3,172899556,2733,2733,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-darwin-x64,0.14.0,190067621,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@microsoft/workiq,0.4.1,188097926,80,80,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-signature-capture,0.4.12,220600982,2048,2048,1,3,0,3,0.75,1,0,0.0002,0,0.0001,4,0,
gm-codex,2.0.1080,360924,66,66,0,1,0,1,1,0,0,0,0,0,1,0,
prismarine-viewer,1.33.0,269284936,32568,32568,3,31,3,28,0.9118,3,3,0.0006,0.0006,0.0006,34,0,
@kilocode/cli-windows-x64,7.3.0,193125145,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
@kilocode/cli-windows-x64-baseline,7.3.0,193125154,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
@rivetkit/engine-cli-darwin-x64,2.2.1-pr.4600.252b48e,300239074,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
gm-cc,1.0.1,3445,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
gm-qwen,2.0.1080,342690,58,58,0,1,0,1,1,0,0,0,0,0,1,0,
@expo/swiftlint,0.57.1,133938236,5,5,0,1,0,1,1,0,0,0,0,0,1,0,
@syncfusion/ej2-cldr-data,33.2.3,168375953,4266,4266,0,0,0,0,0,0,0,0,0,0,0,0,
code-server,4.117.0,146866770,964,964,0,19,0,19,1,0,0,0,0,0,19,0,
@rivetkit/engine-cli-darwin-arm64,2.2.1-pr.4600.252b48e,306686042,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
go-ios,1.0.213,120853425,9,9,0,1,0,1,1,0,0,0,0,0,1,0,
@rivetkit/engine-cli-linux-x64-musl,2.2.1-pr.4600.252b48e,509511555,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@mchp-mcc/pic-8bit,5.31.0,288729154,514,512,0,22,0,22,1,0,0,0,0,0,22,0,
kuzu,0.11.3,524662769,5747,4837,0,5,0,5,1,0,0,0,0,0,5,0,
unicode-8.0.0,0.7.5,141553952,2138,2138,0,0,0,0,0,0,0,0,0,0,0,0,
@rivetkit/engine-cli-linux-arm64-musl,2.2.1-pr.4600.252b48e,503800377,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
libav.js,6.8.8,167590555,184,184,0,2,0,2,1,0,0,0,0,0,2,0,
@anthropic-ai/claude-code-linux-arm64-musl,2.1.144,226144696,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
dirac-cli,0.3.44,117456201,1155,1155,0,26,0,26,1,0,0,0,0,0,26,0,
@faststore/core,4.1.1,2168876,705,704,0,72,1,71,1,0,1,0,0.0002,0.0001,72,0,
node-darwin-x64,22.22.3,175426105,2733,2733,0,0,0,0,0,0,0,0,0,0,0,0,
prismarine-web-client,1.6.0,252947496,26096,26096,0,38,1,37,1,0,1,0,0.0002,0.0001,38,0,
cycletls,2.0.5,129883647,12,12,0,15,0,15,1,0,0,0,0,0,15,0,
iobroker.lovelace,5.0.5,183759068,9052,9049,0,23,0,23,1,0,0,0,0,0,23,0,
@cdktf/provider-google-beta,16.12.1,332532083,3270,3270,0,17,0,17,1,0,0,0,0,0,17,0,
teradatasql,20.0.58,421037917,73,73,0,1,0,1,1,0,0,0,0,0,1,0,
@anthropic-ai/claude-code-win32-arm64,2.1.144,225267426,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@turbo/gen-windows-64,2.8.16,119969074,7,5,0,0,0,0,0,0,0,0,0,0,0,0,
@material-symbols-svg/react-rounded,0.1.22,139608979,7619,7619,0,18,0,18,1,0,0,0,0,0,18,0,
@carbon/icons-angular,11.2.2,142019911,12708,12708,0,13,0,13,1,0,0,0,0,0,13,0,
@layerzerolabs/lz-evm-sdk-v2,3.1.2,216847367,13852,13852,2,9,0,9,0.8182,2,0,0.0004,0,0.0002,11,0,
@bentley/imodeljs-win32-x64,5.10.21,121561650,187,187,0,0,0,0,0,0,0,0,0,0,0,0,
bs-platform,9.0.2,142193998,1009,1005,1,2,0,2,0.6667,1,0,0.0002,0,0.0001,3,0,
jqwidgets-scripts-custom,7.1.0,118770882,20368,19688,0,0,0,0,0,0,0,0,0,0,0,0,
ctt-babylon,0.22.71,125698162,1529,1526,0,1,0,1,1,0,0,0,0,0,1,0,
@dcl/explorer,1.0.165087-20250127124647.commit-c5c4235,255231478,78,78,0,0,0,0,0,0,0,0,0,0,0,0,
@snyk/vervet,8.23.1,168928746,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
happy,1.1.8,238421232,64,64,0,50,0,50,1,0,0,0,0,0,50,0,
coveo-search-ui,2.10125.2,228646794,2536,2535,0,93,0,93,1,0,0,0,0,0,93,0,
zh-stroke-data,0.0.75,434237318,14547,14546,0,6,0,6,1,0,0,0,0,0,6,0,
node-linux-arm64,22.22.3,182080918,2733,2733,0,0,0,0,0,0,0,0,0,0,0,0,
@oh-my-pi/pi-natives,15.1.5,933900666,13,13,0,2,0,2,1,0,0,0,0,0,2,0,
@sigmashake/ssg-win32-x64,0.29.90,253046599,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
@ip-location-db/geolite2-city,2.3.2026051619,117742082,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
emoji-assets,9.0.0,161194974,11556,11556,0,0,0,0,0,0,0,0,0,0,0,0,
j-gallery,1.2.2,199416333,41757,41626,0,8,0,8,1,0,0,0,0,0,8,0,
groove-dev,0.27.164,143129851,16136,16124,0,4,0,4,1,0,0,0,0,0,4,0,
china-division,2.7.0,190712212,32,32,1,15,0,15,0.9375,1,0,0.0002,0,0.0001,16,0,
@inkeep/agents-manage-ui,0.73.5,144307924,4499,4499,0,112,1,111,1,0,1,0,0.0002,0.0001,112,0,
nswag-portable,13.20.0-v.17,385710063,9,7,0,3,0,3,1,0,0,0,0,0,3,0,
genshin-db,5.2.10,173889008,50,50,0,7,0,7,1,0,0,0,0,0,7,0,
@bentley/imodeljs-linux-x64,5.10.21,161328609,167,167,0,0,0,0,0,0,0,0,0,0,0,0,
@vscode/openssl-prebuilt,0.0.11,250315399,1413,1413,0,0,0,0,0,0,0,0,0,0,0,0,
@kilocode/cli-darwin-arm64,7.3.0,139000383,39,39,0,0,0,0,0,0,0,0,0,0,0,0,
ax-code-linux-x64,2.26.4,137448999,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@signalapp/libsignal-client,0.94.1,134626644,194,194,0,37,0,37,1,0,0,0,0,0,37,0,
@cubic-dev-ai/cli-linux-x64,1.6.0,147545609,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@cubic-dev-ai/cli-linux-x64-baseline,1.6.0,147545618,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@cubic-dev-ai/cli-linux-x64-baseline-musl,1.6.0,140209511,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@eusoumarlon/wa-version,1.4.2510,691023225,2498,2498,0,24,0,24,1,0,0,0,0,0,24,0,
@dcl/builder-site,8.13.0,212287255,1404,1404,0,0,0,0,0,0,0,0,0,0,0,0,
@layerzerolabs/lz-evm-sdk-v1,3.1.2,512483319,5108,5108,1,9,0,9,0.9,1,0,0.0002,0,0.0001,10,0,
@cubic-dev-ai/cli-linux-x64-musl,1.6.0,140209502,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-filament,1.9.0,487932802,2499,2499,0,14,0,14,1,0,0,0,0,0,14,0,
mux,0.24.0,123571415,3062,3062,0,184,0,184,1,0,0,0,0,0,184,0,
funcunit,3.7.0,117210095,15035,14950,0,22,0,22,1,0,0,0,0,0,22,0,
ax-code-windows-x64,2.26.4,149745897,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
claudio-cli-win-x64,1.0.43,112066367,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
decocms,2.331.1,138000188,7844,7844,0,124,0,124,1,0,0,0,0,0,124,0,
@f5xc-salesdemos/pi-natives-linux-x64-gnu,18.70.0,209323322,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@omega-edit/server,2.0.0,117783708,15,12,0,0,0,0,0,0,0,0,0,0,0,0,
unicode-12.1.0,0.8.0,145544249,2399,2399,0,0,0,0,0,0,0,0,0,0,0,0,
@pepperize/cdk-organizations,0.7.988,120338494,137,137,0,35,0,35,1,0,0,0,0,0,35,0,
